####################################################################
#  Spectra with a Res=100  for a Jupiter-like planet with T=500K   #
#  Yamila Miguel - May 2017                                        #
#  Spectra generated with SAO98 code - Linelists from HITRAN 2012  #
#  Wavelength(microns)          Flux (W/m2/m)                      #
####################################################################
   20.000000000000000        24125765.683428943     
   19.996000555937606        24167759.549874436     
   19.992002710711009        24205761.555936281     
   19.988007683497049        24238942.216097325     
   19.984013033378254        24267121.757288709     
   19.980019980019978        24290478.890869737     
   19.976028522065974        24310667.101326872     
   19.972038658161388        24330527.340803675     
   19.968051605051738        24349841.531403020     
   19.964064926693542        24368800.273502443     
   19.960079840319363        24388867.948154822     
   19.956096344577556        24408659.992985271     
   19.952114438117881        24428633.991640154     
   19.948135335261785        24449323.816025089     
   19.944156604825199        24470263.238216031     
   19.940179461615156        24492177.509555817     
   19.936203904284604        24515299.733049847     
   19.932229931487885        24541070.808899291     
   19.928258755129612        24569127.294387776     
   19.924287948870603        24598593.513565645     
   19.920318725099602        24629215.098308012     
   19.916351082474126        24661320.925779026     
   19.912385019653083        24696148.463899374     
   19.908421746131456        24734410.332910433     
   19.904458840400473        24776565.388289422     
   19.900497512437809        24822244.223007541     
   19.896537760905531        24870598.582981143     
   19.892579584467082        24921281.764690761     
   19.888624190214998        24973897.305370413     
   19.884669161456515        25026948.561818536     
   19.880715705765407        25081679.092662174     
   19.876763821808272        25138194.617240209     
   19.872813508253074        25195480.235278640     
   19.868865969797046        25252868.728016853     
   19.864918794549073        25309699.122447360     
   19.860973187686195        25365161.489977170     
   19.857029147879512        25419871.700178433     
   19.853086673801492        25474351.814833902     
   19.849146967761186        25528365.173778452     
   19.845207622654826        25581712.449345011     
   19.841269841269842        25634596.222819831     
   19.837333622281818        25687648.149329785     
   19.833398964367706        25740278.691286169     
   19.829467067455468        25792961.368548341     
   19.825535529214445        25846076.605211154     
   19.821605550049554        25900348.012531985     
   19.817677128640845        25955344.718389589     
   19.813750263669721        26010193.974600185     
   19.809826152690128        26063766.459888972     
   19.805902398130332        26116707.689358868     
   19.801980198019802        26169966.943998866     
   19.798059551043035        26222322.714067500     
   19.794140455885877        26273284.588208154     
   19.790224107735281        26322230.223638177     
   19.786308113764303        26368629.547932316     
   19.782393669634025        26412987.867228679     
   19.778480774033362        26456822.939277187     
   19.774569425652576        26498415.785297576     
   19.770660817318642        26537942.678084295     
   19.766752560935345        26575193.371956438     
   19.762845849802371        26609725.691691063     
   19.758940682613044        26642161.896678582     
   19.755037058062026        26672738.585464701     
   19.751136166623294        26701728.797000989     
   19.747235624917330        26729419.969753370     
   19.743336623889437        26755924.018083856     
   19.739439162237311        26781722.363541450     
   19.735543238659989        26807353.766529076     
   19.731650041285413        26833266.252972148     
   19.727757191436808        26860065.105756834     
   19.723865877712033        26888007.615623437     
   19.719976098813145        26917178.065514915     
   19.716087853443547        26947539.415937286     
   19.712202327392056        26978372.246083945     
   19.708317146670741        27009198.134189904     
   19.704433497536947        27039760.182701968     
   19.700551378697078        27069417.629016850     
   19.696670788858871        27097849.285372443     
   19.692792911478932        27125499.451412320     
   19.688915377244307        27152952.060670126     
   19.685039370078741        27181381.073464189     
   19.681164888692962        27210075.510938361     
   19.677291931799026        27238355.253621109     
   19.673421680528190        27265711.119706407     
   19.669551770228690        27291221.655732989     
   19.665683382497541        27314269.883756783     
   19.661816516049782        27335315.664044719     
   19.657951169601763        27354011.735977434     
   19.654088521966237        27371139.194701862     
   19.650226213138886        27387386.406959701     
   19.646365422396858        27401892.259034470     
   19.642506148459464        27415459.022955164     
   19.638648390047337        27426558.902624056     
   19.634793323661548        27435192.085288703     
   19.630938593931536        27441184.902624249     
   19.627085377821395        27444387.356010605     
   19.623233674054699        27445892.740742546     
   19.619383481356341        27445030.465268627     
   19.615535973922508        27441877.284068242     
   19.611688801002749        27436936.643179428     
   19.607843137254903        27374006.747794744     
   19.603998981406797        27366450.134495653     
   19.600156332187556        27359269.543255839     
   19.596316361495244        27352861.560479455     
   19.592476723185946        27348451.612945784     
   19.588638589618022        27346862.098033693     
   19.584801959523517        27348053.744569562     
   19.580966831635784        27351392.142882872     
   19.577134375561492        27355416.090659376     
   19.573302249749741        27359353.746873710     
   19.569471624266146        27363167.498315766     
   19.565642497846959        27367068.843098707     
   19.561814869229735        27370747.346198957     
   19.557989905736470        27374777.147730719     
   19.554165270395792        27379627.171547040     
   19.550342130987293        27385857.812101107     
   19.546520486251417        27394556.562351655     
   19.542700334929897        27403920.982864156     
   19.538882842066744        27413017.579664115     
   19.535065675256693        27422668.980466835     
   19.531250000000000        27433509.732452847     
   19.527436978450961        27445611.452947643     
   19.523623119126441        27457840.695171118     
   19.519813075028143        27468959.221225373     
   19.516002192846187        27477852.270482797     
   19.512195121951219        27484072.071063608     
   19.508389536090107        27487070.353382029     
   19.504583112637100        27487159.137417383     
   19.500780495523653        27485247.875449196     
   19.496977040512363        27483622.138936318     
   19.493177387914230        27481713.748628236     
   19.489379216011979        27477839.715081394     
   19.485580206705119        27471010.976859607     
   19.481784994881345        27462605.063407447     
   19.477988945349221        27453984.333436716     
   19.474196689386563        27446431.588498324     
   19.470405909798693        27438493.416161750     
   19.466614292997157        27430801.829470392     
   19.462826464852299        27423121.732257277     
   19.459037799192231        27414522.236572031     
   19.455252918287936        27407019.531712722     
   19.451469509454135        27401403.252672646     
   19.447685263601251        27397975.394827679     
   19.443904797608550        27396753.227118462     
   19.440123494297406        27398493.434342202     
   19.436345966958211        27401983.917339269     
   19.432569907401927        27406144.578402556     
   19.428793011024748        27411246.106369153     
   19.425019885741047        27417538.056036796     
   19.421245923339264        27424968.383010518     
   19.417475728155338        27434366.903585136     
   19.413706996483377        27445078.662169632     
   19.409937428192283        27456776.570678569     
   19.406171622257627        27468860.042305421     
   19.402404979408796        27481620.181870196     
   19.398642095053347        27496229.359116886     
   19.394880669955466        27511771.235319152     
   19.391118408443756        27526776.715640828     
   19.387359900580968        27540211.306974102     
   19.383600556011455        27553305.016633198     
   19.379844961240309        27567302.157597408     
   19.376090821488816        27581413.223579962     
   19.372335845532312        27595380.955170698     
   19.368584614546617        27609577.911702290     
   19.364832547065138        27624579.558168374     
   19.361084220716361        27641054.001088828     
   19.357337345165707        27659618.043087274     
   19.353589633622356        27680368.778991405     
   19.349845658400959        27703323.966368545     
   19.346100846898196        27727892.894983936     
   19.342359767891683        27753926.250289612     
   19.338620135478084        27781366.627883732     
   19.334879667287549        27809995.409131270     
   19.331142926799256        27839531.060796209     
   19.327405350247460        27869967.518090900     
   19.323671497584542        27901962.821445551     
